title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,0.724,0.276,7.0,-12.25,1.0,0.0599,0.76,0.0,0.116,0.718,112.874,audio_features,2pXpURmn6zC5ZYDMms6fwa,spotify:track:2pXpURmn6zC5ZYDMms6fwa,https://api.spotify.com/v1/tracks/2pXpURmn6zC5ZYDMms6fwa,https://api.spotify.com/v1/audio-analysis/2pXpURmn6zC5ZYDMms6fwa,155933.0,4.0
And I Love You So,Perry Como,0.415,0.22,8.0,-17.47,1.0,0.0261,0.878,0.651,0.125,0.268,90.267,audio_features,1naVD19eofGpFf6wosmHIe,spotify:track:1naVD19eofGpFf6wosmHIe,https://api.spotify.com/v1/tracks/1naVD19eofGpFf6wosmHIe,https://api.spotify.com/v1/audio-analysis/1naVD19eofGpFf6wosmHIe,197627.0,4.0
Christmas Dream,Perry Como,0.514,0.287,10.0,-13.971,1.0,0.0352,0.672,4.41e-06,0.0677,0.834,184.356,audio_features,1PrhnQxWAVYikCHcieRQiy,spotify:track:1PrhnQxWAVYikCHcieRQiy,https://api.spotify.com/v1/tracks/1PrhnQxWAVYikCHcieRQiy,https://api.spotify.com/v1/audio-analysis/1PrhnQxWAVYikCHcieRQiy,169160.0,4.0
(There's No Place Like) Home for the Holidays - 1959 Version,Perry Como,0.532,0.401,5.0,-10.629,1.0,0.0525,0.869,0.0,0.222,0.45,143.823,audio_features,2GapxG7BxK55ihQRAlR39e,spotify:track:2GapxG7BxK55ihQRAlR39e,https://api.spotify.com/v1/tracks/2GapxG7BxK55ihQRAlR39e,https://api.spotify.com/v1/audio-analysis/2GapxG7BxK55ihQRAlR39e,178293.0,4.0
Magic Moments,Perry Como,0.719,0.257,0.0,-14.446,0.0,0.0435,0.88,2.61e-06,0.257,0.75,103.829,audio_features,7bflxIMDz5mFxhQyYx1CEh,spotify:track:7bflxIMDz5mFxhQyYx1CEh,https://api.spotify.com/v1/tracks/7bflxIMDz5mFxhQyYx1CEh,https://api.spotify.com/v1/audio-analysis/7bflxIMDz5mFxhQyYx1CEh,159907.0,4.0
Here We Come a-Caroling / We Wish You a Merry Christmas,Perry Como,0.573,0.246,8.0,-11.543,1.0,0.105,0.944,0.0,0.126,0.695,95.413,audio_features,1Kcy7qSbf6un30zIkxGVew,spotify:track:1Kcy7qSbf6un30zIkxGVew,https://api.spotify.com/v1/tracks/1Kcy7qSbf6un30zIkxGVew,https://api.spotify.com/v1/audio-analysis/1Kcy7qSbf6un30zIkxGVew,98267.0,3.0
You Light Up My Life,Perry Como,0.226,0.181,2.0,-14.056,0.0,0.0283,0.871,8.85e-06,0.204,0.17,84.934,audio_features,6PIToqq8nP49AtfWiWMhLP,spotify:track:6PIToqq8nP49AtfWiWMhLP,https://api.spotify.com/v1/tracks/6PIToqq8nP49AtfWiWMhLP,https://api.spotify.com/v1/audio-analysis/6PIToqq8nP49AtfWiWMhLP,221733.0,3.0
(There's No Place Like) Home for the Holidays - 1959 Version,Perry Como,0.478,0.341,5.0,-12.556,1.0,0.0511,0.897,0.0,0.258,0.474,143.736,audio_features,0hvN2v6fAcB6xWyW7UaooA,spotify:track:0hvN2v6fAcB6xWyW7UaooA,https://api.spotify.com/v1/tracks/0hvN2v6fAcB6xWyW7UaooA,https://api.spotify.com/v1/audio-analysis/0hvN2v6fAcB6xWyW7UaooA,175893.0,4.0
The Wind Beneath My Wings,Perry Como,0.383,0.138,2.0,-18.472,1.0,0.034,0.82,0.0123,0.213,0.159,105.0,audio_features,7HHbbOFag0Qdp6BlAs68LP,spotify:track:7HHbbOFag0Qdp6BlAs68LP,https://api.spotify.com/v1/tracks/7HHbbOFag0Qdp6BlAs68LP,https://api.spotify.com/v1/audio-analysis/7HHbbOFag0Qdp6BlAs68LP,255200.0,4.0
It's Impossible,Perry Como,0.284,0.365,0.0,-10.958,0.0,0.0331,0.669,0.0028,0.272,0.356,140.702,audio_features,4zfbWWm3CBseNcNJIj47l1,spotify:track:4zfbWWm3CBseNcNJIj47l1,https://api.spotify.com/v1/tracks/4zfbWWm3CBseNcNJIj47l1,https://api.spotify.com/v1/audio-analysis/4zfbWWm3CBseNcNJIj47l1,197107.0,4.0
Another Love,Tom Odell,0.445,0.537,4.0,-8.532,0.0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,audio_features,3JvKfv6T31zO0ini8iNItO,spotify:track:3JvKfv6T31zO0ini8iNItO,https://api.spotify.com/v1/tracks/3JvKfv6T31zO0ini8iNItO,https://api.spotify.com/v1/audio-analysis/3JvKfv6T31zO0ini8iNItO,244360.0,4.0
Heal,Tom Odell,0.445,0.179,1.0,-12.938,1.0,0.0396,0.952,0.00056,0.107,0.119,72.246,audio_features,4KlL5Bwlm4yHYxr0B2rHci,spotify:track:4KlL5Bwlm4yHYxr0B2rHci,https://api.spotify.com/v1/tracks/4KlL5Bwlm4yHYxr0B2rHci,https://api.spotify.com/v1/audio-analysis/4KlL5Bwlm4yHYxr0B2rHci,193080.0,4.0
Another Love,Tom Odell,0.445,0.537,4.0,-8.532,0.0,0.04,0.695,1.6e-05,0.0941,0.131,122.764,audio_features,7otCGmgp9h4CsR2LhwB6gt,spotify:track:7otCGmgp9h4CsR2LhwB6gt,https://api.spotify.com/v1/tracks/7otCGmgp9h4CsR2LhwB6gt,https://api.spotify.com/v1/audio-analysis/7otCGmgp9h4CsR2LhwB6gt,244360.0,4.0
Can't Pretend,Tom Odell,0.468,0.473,1.0,-8.503,0.0,0.0281,0.278,0.00061,0.117,0.286,79.055,audio_features,2Q3UgGcvhdaX6k13PDNguP,spotify:track:2Q3UgGcvhdaX6k13PDNguP,https://api.spotify.com/v1/tracks/2Q3UgGcvhdaX6k13PDNguP,https://api.spotify.com/v1/audio-analysis/2Q3UgGcvhdaX6k13PDNguP,217840.0,4.0
Another Love - Tiësto Remix,Tom Odell,0.79,0.764,4.0,-4.685,0.0,0.0737,0.0836,0.0871,0.132,0.473,123.046,audio_features,4Et6tUEO7biKxZEfJXpNj1,spotify:track:4Et6tUEO7biKxZEfJXpNj1,https://api.spotify.com/v1/tracks/4Et6tUEO7biKxZEfJXpNj1,https://api.spotify.com/v1/audio-analysis/4Et6tUEO7biKxZEfJXpNj1,185366.0,4.0
